"","trending_date","title","channel_title","category_id","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed"
"451","18.13.03","Black Panther New Scene - SNL","Saturday Night Live",24,"2018-03-11T07:30:13.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1740|Sterling K Brown|Black Panther|Chris Redd|Leslie Jones|Kenan Thompson|T'Challa|Djalia|s43|s43e15|episode 15|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|Sterling K. Brown|The Predator|This is Us|People vs. OJ|James Bay|wild love|let it go|scars|hold back the river|chaos and the calm",2396391,38864,4611,4177,"https://i.ytimg.com/vi/8uBP6UL-jEU/default.jpg","False","False","False"
"452","18.13.03","LeBron James teases what his dunk contest might look like during pregame warmups | ESPN","ESPN",17,"2018-03-10T07:05:22.000Z","espn|espn live|lebron|james|teases|what|his|dunk|contest|might|look|like|during|pregame|warmups|lebron james|cavs vs clippers|cavaliers vs clippers|lebron james dunks|nba on espn|espn nba",478644,2615,1976,885,"https://i.ytimg.com/vi/PKf29H2z81w/default.jpg","False","False","False"
"453","18.13.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",696255,14732,168,1005,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"454","18.13.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1447554,140773,1541,10473,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
"455","18.14.03","Black Panther New Scene - SNL","Saturday Night Live",24,"2018-03-11T07:30:13.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1740|Sterling K Brown|Black Panther|Chris Redd|Leslie Jones|Kenan Thompson|T'Challa|Djalia|s43|s43e15|episode 15|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|Sterling K. Brown|The Predator|This is Us|People vs. OJ|James Bay|wild love|let it go|scars|hold back the river|chaos and the calm",2970278,43405,5161,4603,"https://i.ytimg.com/vi/8uBP6UL-jEU/default.jpg","False","False","False"
"456","18.14.03","LeBron James teases what his dunk contest might look like during pregame warmups | ESPN","ESPN",17,"2018-03-10T07:05:22.000Z","espn|espn live|lebron|james|teases|what|his|dunk|contest|might|look|like|during|pregame|warmups|lebron james|cavs vs clippers|cavaliers vs clippers|lebron james dunks|nba on espn|espn nba",684438,3439,2213,1038,"https://i.ytimg.com/vi/PKf29H2z81w/default.jpg","False","False","False"
"457","18.14.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",745028,15290,175,1050,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"458","18.14.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1467165,141277,1573,10516,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
"459","18.15.03","Star Wars: The Last Jedi | Phasma's End - Deleted Scene","Star Wars",24,"2018-03-14T01:00:00.000Z","Star Wars|The Last Jedi|Lucasfilm|Captain Phasma|Finn|Deleted Scene",298219,10363,648,1637,"https://i.ytimg.com/vi/UzeIb-TZo_I/default.jpg","False","False","False"
"460","18.15.03","Stephen A. goes off on Kevin Durant: I don't want to hear you miss Steph Curry | First Take | ESPN","ESPN",17,"2018-03-12T16:21:49.000Z","espn|espn live|stephen a smith|stephen a. smith|stephen a smith reaction|stephen a.|stephen a|stephen a smith kevin durant|kevin durant|kevin durant warriors|steph curry|steph curry injury|first take|first take espn|espn first take|first take daily|first take today|first take nba|nba first take|nba|basketball",902489,9429,773,3888,"https://i.ytimg.com/vi/H2mNDaqOp3o/default.jpg","False","False","False"
